iter	Passed	Remaining
0	150	150465
1	156	77968
2	162	53849
3	167	41750
4	172	34393
5	178	29576
6	184	26166
7	190	23565
8	195	21497
9	200	19823
10	205	18501
11	211	17381
12	216	16437
13	221	15632
14	227	14924
15	232	14313
16	238	13782
17	243	13289
18	248	12840
19	253	12442
20	259	12076
21	264	11746
22	269	11453
23	274	11171
24	279	10909
25	285	10676
26	291	10498
27	296	10300
28	302	10120
29	307	9944
30	312	9770
31	317	9617
32	323	9466
33	328	9323
34	333	9191
35	338	9062
36	343	8939
37	348	8822
38	353	8720
39	358	8613
40	364	8514
41	369	8417
42	374	8327
43	379	8246
44	384	8167
45	390	8088
46	396	8034
47	401	7965
48	407	7911
49	412	7838
50	417	7773
51	422	7710
52	428	7649
53	433	7590
54	438	7534
55	443	7478
56	448	7420
57	453	7369
58	458	7317
59	464	7269
60	469	7221
61	474	7178
62	480	7140
63	485	7102
64	490	7062
65	496	7025
66	501	6983
67	506	6943
68	512	6908
69	517	6868
70	521	6829
71	526	6791
72	531	6754
73	536	6717
74	542	6694
75	550	6689
76	555	6659
77	561	6636
78	567	6613
79	572	6588
80	578	6559
81	583	6527
82	588	6502
83	593	6477
84	599	6448
85	604	6422
86	609	6392
87	614	6363
88	619	6344
89	624	6316
90	629	6289
91	635	6269
92	640	6247
93	645	6225
94	651	6203
95	656	6184
96	661	6155
97	666	6133
98	671	6113
99	676	6089
100	681	6069
101	687	6050
102	692	6030
103	697	6007
104	702	5989
105	707	5969
106	712	5949
107	719	5939
108	724	5919
109	729	5900
110	734	5880
111	739	5864
112	744	5846
113	749	5827
114	754	5809
115	760	5793
116	765	5778
117	770	5762
118	776	5746
119	781	5730
120	786	5712
121	791	5695
122	796	5680
123	801	5664
124	806	5648
125	811	5627
126	816	5610
127	821	5594
128	826	5580
129	831	5566
130	838	5561
131	843	5546
132	849	5536
133	855	5526
134	860	5512
135	865	5497
136	870	5482
137	875	5467
138	880	5456
139	886	5442
140	891	5428
141	896	5419
142	903	5412
143	908	5401
144	912	5380
145	917	5368
146	923	5356
147	928	5345
148	934	5335
149	939	5326
150	945	5315
151	950	5305
152	956	5294
153	961	5283
154	967	5274
155	972	5263
156	978	5251
157	983	5239
158	988	5228
159	993	5215
160	998	5203
161	1003	5191
162	1008	5180
163	1014	5170
164	1019	5157
165	1024	5147
166	1029	5136
167	1035	5126
168	1040	5117
169	1046	5108
170	1051	5097
171	1056	5086
172	1062	5077
173	1067	5068
174	1072	5057
175	1078	5049
176	1082	5033
177	1088	5025
178	1095	5023
179	1101	5017
180	1106	5008
181	1112	5000
182	1118	4992
183	1124	4984
184	1129	4975
185	1134	4966
186	1140	4957
187	1145	4948
188	1151	4939
189	1156	4930
190	1161	4920
191	1166	4910
192	1172	4901
193	1177	4893
194	1182	4883
195	1188	4875
196	1193	4866
197	1199	4858
198	1204	4849
199	1210	4840
200	1215	4831
201	1220	4823
202	1226	4814
203	1231	4805
204	1237	4798
205	1242	4789
206	1247	4780
207	1253	4772
208	1258	4763
209	1263	4754
210	1269	4746
211	1274	4737
212	1280	4729
213	1285	4721
214	1291	4714
215	1296	4704
216	1301	4696
217	1306	4688
218	1310	4674
219	1316	4667
220	1322	4660
221	1327	4651
222	1332	4642
223	1337	4634
224	1343	4625
225	1348	4618
226	1354	4611
227	1359	4601
228	1363	4592
229	1370	4588
230	1376	4581
231	1381	4572
232	1386	4563
233	1390	4553
234	1395	4543
235	1400	4534
236	1405	4524
237	1410	4516
238	1415	4506
239	1420	4497
240	1425	4488
241	1431	4482
242	1435	4473
243	1440	4464
244	1446	4456
245	1451	4448
246	1456	4439
247	1461	4431
248	1466	4422
249	1471	4414
250	1475	4401
251	1480	4394
252	1485	4386
253	1490	4377
254	1496	4370
255	1501	4362
256	1506	4355
257	1511	4347
258	1516	4338
259	1521	4329
260	1526	4322
261	1531	4313
262	1536	4305
263	1541	4297
264	1546	4290
265	1551	4282
266	1557	4274
267	1562	4267
268	1567	4258
269	1572	4250
270	1577	4242
271	1582	4235
272	1587	4227
273	1592	4218
274	1597	4211
275	1601	4202
276	1607	4194
277	1612	4187
278	1616	4178
279	1621	4169
280	1627	4163
281	1631	4154
282	1636	4146
283	1642	4140
284	1647	4132
285	1652	4126
286	1658	4119
287	1663	4111
288	1667	4103
289	1673	4097
290	1678	4089
291	1683	4081
292	1688	4073
293	1693	4066
294	1698	4058
295	1703	4051
296	1708	4045
297	1713	4037
298	1718	4029
299	1724	4023
300	1729	4015
301	1734	4008
302	1739	4002
303	1745	3995
304	1749	3987
305	1755	3980
306	1760	3973
307	1765	3966
308	1770	3959
309	1775	3952
310	1780	3945
311	1786	3938
312	1790	3929
313	1795	3922
314	1800	3915
315	1805	3908
316	1810	3900
317	1814	3892
318	1819	3884
319	1824	3877
320	1829	3870
321	1834	3862
322	1840	3856
323	1845	3849
324	1850	3842
325	1854	3835
326	1859	3827
327	1864	3819
328	1868	3810
329	1873	3803
330	1878	3797
331	1884	3792
332	1890	3786
333	1894	3777
334	1900	3772
335	1905	3765
336	1910	3759
337	1914	3750
338	1920	3744
339	1926	3739
340	1931	3733
341	1937	3726
342	1940	3717
343	1946	3711
344	1951	3704
345	1954	3695
346	1960	3688
347	1965	3682
348	1970	3675
349	1975	3669
350	1981	3662
351	1986	3656
352	1990	3647
353	1995	3641
354	1999	3633
355	2005	3627
356	2010	3620
357	2014	3612
358	2019	3605
359	2023	3596
360	2028	3591
361	2034	3586
362	2040	3580
363	2045	3574
364	2050	3567
365	2055	3561
366	2061	3555
367	2065	3547
368	2070	3541
369	2076	3534
370	2080	3526
371	2085	3520
372	2090	3514
373	2095	3507
374	2099	3499
375	2104	3492
376	2109	3486
377	2114	3479
378	2118	3471
379	2123	3465
380	2128	3458
381	2134	3452
382	2139	3446
383	2144	3439
384	2149	3433
385	2154	3426
386	2158	3419
387	2162	3411
388	2167	3405
389	2171	3396
390	2176	3390
391	2180	3381
